spotlight, spot;holofotes, local
remote control, remote;controle remoto, remoto
beaker;taça
stopwatch, stop watch;cronômetro, cronômetro
missile;míssil
letter opener, paper knife, paperknife;abridor de cartas, faca de papel, faca de papel
toilet tissue, toilet paper, bathroom tissue;papel higiênico, papel higiênico, papel higiênico
wing;asa
night snake, Hypsiglena torquata;cobra noturna, Hypsiglena torquata
vase;vaso
thimble;dedal
soap dispenser;saboneteira
safety pin;pino de segurança
prison, prison house;prisão, casa de prisão
beer glass;copo de cerveja
ant, emmet, pismire;formiga, emmet, pismire
refrigerator, icebox;geladeira, geladeira
pop bottle, soda bottle;garrafa pop, garrafa de refrigerante
shoji;shoji
beer bottle;garrafa de cerveja
computer keyboard, keypad;teclado de computador, teclado
saltshaker, salt shaker;saleiro, saleiro
table lamp;lâmpada de mesa
odometer, hodometer, mileometer, milometer;odômetro, hodômetro, milhas, milímetro
ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;joaninha, joaninha, joaninha, joaninha, joaninha
cup;copo
paper towel;papel toalha
coil, spiral, volute, whorl, helix;bobina, espiral, voluta, espiral, hélice
tripod;tripé
loupe, jeweler's loupe;lupa, lupa para joalheiro
fly;mosca
monitor;monitor
coffee mug;Caneca de café
obelisk;obelisco
Granny Smith;Granny Smith
cornet, horn, trumpet, trump;corneta, buzina, trompete, trunfo
analog clock;relógio analógico
barn spider, Araneus cavaticus;aranha celeiro, Araneus cavaticus
daisy;margarida
mantis, mantid;mantis, mantid
can opener, tin opener;abridor de lata, abridor de lata
digital watch;relogio digital
pencil sharpener;apontador de lápis
bassoon;fagote
lacewing, lacewing fly;amarração, mosca para amarração
tick;Carraça
violin, fiddle;violino, violino
parallel bars, bars;barras paralelas, barras
joystick;controle de video game
umbrella;guarda-chuva
pay-phone, pay-station;telefone público, estação de pagamento
mousetrap;ratoeira
whistle;apito
seat belt, seatbelt;cinto de segurança, cinto de segurança
Band Aid;Curativo
space shuttle;nave espacial
beacon, lighthouse, beacon light, pharos;farol, farol, faróis
harmonica, mouth organ, harp, mouth harp;gaita, órgão da boca, harpa, harpa da boca
binder, ring-binder;fichário, fichário
lens cap, lens cover;tampa da lente, tampa da lente
sax, saxophone;saxofone
hatchet;machadinha
projector;projetor
fountain;fonte
sunglasses, dark glasses, shades;óculos de sol, óculos escuros, máscaras
pick, plectrum, plectron;palheta, palheta, palheta
cellular telephone, cellular phone, cellphone, cell, mobile phone;telefone celular, telefone celular, telefone celular, celular, telefone móvel
hummingbird;beija Flor
espresso;espresso
revolver, six-gun, six-shooter;revólver, seis armas, seis tiros
dumbbell;haltere
cocktail shaker;coqueteleira
accordion, piano accordion, squeeze box;acordeão, acordeão de piano, caixa do aperto
shovel;pá
cleaver, meat cleaver, chopper;cutelo, cutelo, helicóptero
snail;Caracol
ringneck snake, ring-necked snake, ring snake;cobra ringneck, cobra de pescoço anelado, cobra de anel
dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk;libélula, agulha de cerzir, agulha de cerzir do diabo, agulha de costura, alimentador de cobras, médico cobra, falcão de mosquito, falcão de skeeter
scorpion;escorpião
dial telephone, dial phone;discar telefone, discar telefone
trombone;trombone
corkscrew, bottle screw;saca-rolhas, parafuso de garrafa
crane;guindaste
home theater, home theatre;home theater, home theater
ping-pong ball;bola de pingue-pongue
cricket;Grilo
screen, CRT screen;tela, tela CRT
cello, violoncello;violoncelo, violoncelo
binoculars, field glasses, opera glasses;binóculos, óculos de campo, óculos de ópera
centipede;centopéia
flute, transverse flute;flauta, flauta transversal
ladle;concha
radio, wireless;rádio, sem fio
guillotine;guilhotina
lotion;loção
mask;mascarar
CD player;tocador de CD
abacus;ábaco
notebook, notebook computer;notebook, computador notebook
scabbard;bainha
goldfinch, Carduelis carduelis;Pintassilgo, Carduelis carduelis
stage;etapa
radiator;radiador
ice lolly, lolly, lollipop, popsicle;picolé, pirulito, pirulito, picolé
crutch;muleta
green snake, grass snake;cobra verde, cobra de grama
turnstile;catraca
dishwasher, dish washer, dishwashing machine;lava-louças, lava-louças, máquina para lavar louça
oscilloscope, scope, cathode-ray oscilloscope, CRO;osciloscópio, osciloscópio, osciloscópio de raios catódicos, CRO
grand piano, grand;piano de cauda
car mirror;espelho de carro
damselfly;libelinha
parking meter;parquímetro
goblet;cálice
pedestal, plinth, footstall;pedestal, rodapé, footstall
assault rifle, assault gun;espingarda de assalto, arma de assalto
broom;vassoura
window screen;tela da janela
leafhopper;cigarrinha
wolf spider, hunting spider;aranha lobo, aranha caça
packet;pacote
sunglass;oculos de sol
bottlecap;tampa de garrafa
teapot;chaleira
face powder;pó facial
electric guitar;guitarra elétrica
cannon;canhão
acoustic guitar;violão
loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;alto-falante, alto-falante, unidade de alto-falante, sistema de alto-falante, sistema de alto-falante
web site, website, internet site, site;site, site, site, site
strainer;filtro
lycaenid, lycaenid butterfly;licenóide, borboleta licenóide
bow tie, bow-tie, bowtie;gravata borboleta, gravata borboleta, gravata borboleta
buckle;fivela
spatula;espátula
marmoset;sagui
swab, swob, mop;cotonete, cotonete, esfregão
weevil;gorgulho
banded gecko;lagartixa
orange;laranja
jack-o'-lantern;jack-o'-lantern
green mamba;mamba verde
mushroom;cogumelo
rifle;rifle
honeycomb;favo de mel
upright, upright piano;piano vertical
American chameleon, anole, Anolis carolinensis;Camaleão americano, anole, Anolis carolinensis
laptop, laptop computer;laptop, computador portátil
harp;harpa
abaya;abaya
sliding door;porta deslizante
eggnog;gemada
scale, weighing machine;balança, balança
stethoscope;estetoscópio
iron, smoothing iron;ferro, ferro de alisar
chambered nautilus, pearly nautilus, nautilus;nautilus compartimentado, nautilus perolado, nautilus
black widow, Latrodectus mactans;viúva negra, Latrodectus mactans
mailbox, letter box;caixa de correio, caixa de correio
slug;lesma
oil filter;filtro de óleo
chainlink fence;cerca de arame
thunder snake, worm snake, Carphophis amoenus;cobra trovão, cobra verme, Carphophis amoenus
pool table, billiard table, snooker table;mesa de bilhar, mesa de bilhar, mesa de sinuca
isopod;isópode
ostrich, Struthio camelus;avestruz, Struthio camelus
Egyptian cat;Gato egípcio
mouse, computer mouse;mouse, mouse de computador
car wheel;roda de carro
wallet, billfold, notecase, pocketbook;carteira, carteira, notecase, bolso
cockroach, roach;barata, barata
wooden spoon;colher de madeira
reflex camera;câmera reflex
Polaroid camera, Polaroid Land camera;Câmera Polaroid, Câmera Polaroid Land
gasmask, respirator, gas helmet;máscara de gás, respirador, capacete de gás
water jug;jarro de água
modem;modem
wall clock;relógio de parede
cicada, cicala;cigarra, cicala
power drill;furadeira elétrica
water tower;Torre de água
piggy bank, penny bank;mealheiro, moeda de um centavo
cloak;capa
ski mask;Mascará de esqui
walking stick, walkingstick, stick insect;bengala, bengala, inseto vara
book jacket, dust cover, dust jacket, dust wrapper;capa de livro, capa de poeira, capa de poeira, invólucro de poeira
titi, titi monkey;titi, titi monkey
banana;banana
bell cote, bell cot;cote de sino, berço de sino
vacuum, vacuum cleaner;aspirador de pó
milk can;lata de leite
suit, suit of clothes;terno, terno de roupas
washbasin, handbasin, washbowl, lavabo, wash-hand basin;lavatório, lavatório, bacia, lavabo, lavatório
crossword puzzle, crossword;palavras cruzadas, palavras cruzadas
desktop computer;computador desktop
cowboy hat, ten-gallon hat;chapéu de cowboy, chapéu de dez litros
flatworm, platyhelminth;verme plano, platimelto
cabbage butterfly;borboleta de repolho
cassette;cassete
house finch, linnet, Carpodacus mexicanus;passarinho de casa, linnet, Carpodacus mexicanus
Persian cat;gato persa
church, church building;igreja, igreja
eel;enguia
goldfish, Carassius auratus;peixe dourado, Carassius auratus
sewing machine;máquina de costura
pitcher, ewer;jarro, jarro
suspension bridge;Ponte suspensa
coffeepot;pote de café
lemon;limão
carton;cartão
marimba, xylophone;marimba, xilofone
gong, tam-tam;gongo, tam-tam
teddy, teddy bear;ursinho de pelúcia
rocking chair, rocker;cadeira de balanço
bell pepper;Pimentão
grasshopper, hopper;gafanhoto, tremonha
tape player;toca-fitas
toucan;tucano
electric fan, blower;ventilador elétrico, ventilador
safe;seguro
rhinoceros beetle;besouro rinoceronte
space heater;aquecedor
hard disc, hard disk, fixed disk;disco rígido, disco rígido, disco fixo
cinema, movie theater, movie theatre, movie house, picture palace;cinema, cinema, cinema, cinema, palácio de imagem
totem pole;totem
fig;FIG
birdhouse;Casa de passarinho
cassette player;leitor de cassetes
barbershop;barbearia
brassiere, bra, bandeau;sutiã, sutiã, bandeau
green lizard, Lacerta viridis;lagarto verde, Lacerta viridis
swing;balanço
envelope;envelope
conch;concha
bathtub, bathing tub, bath, tub;banheira, banheira, banheira, banheira
indri, indris, Indri indri, Indri brevicaudatus;Indri, Indris, Indri Indri, Indri brevicaudatus
velvet;veludo
spotted salamander, Ambystoma maculatum;salamandra manchada, Ambystoma maculatum
African chameleon, Chamaeleo chamaeleon;Camaleão africano, Chamaeleo chamaeleon
axolotl, mud puppy, Ambystoma mexicanum;axolotl, filhote cachorro de lama, Ambystoma mexicanum
whiskey jug;jarra de uísque
drum, membranophone, tympan;tambor, membranofone, timpan
maraca;maraca
tub, vat;banheira, cuba
hand-held computer, hand-held microcomputer;computador de mão, microcomputador de mão
cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM;multibanco, caixa automático, caixa automático, caixa automático, caixa automático, caixa automático, multibanco
ballplayer, baseball player;jogador de beisebol
hammerhead, hammerhead shark;tubarão-martelo
reel;bobina
Indian cobra, Naja naja;Cobra indiana, Naja naja
vending machine;Maquina de vendas
flamingo;flamingo
jigsaw puzzle;quebra-cabeça
rain barrel;barril de chuva
tile roof;telhado de telha
running shoe;tênis de corrida
trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;caminhão de reboque, reboque de trator, equipamento de caminhão, equipamento, caminhão articulado, semi
carpenter's kit, tool kit;kit de carpinteiro, kit de ferramentas
long-horned beetle, longicorn, longicorn beetle;besouro com chifres longos, longicorn, besouro longicorn
plastic bag;saco de plástico
cardoon;cardo
proboscis monkey, Nasalis larvatus;macaco narigudo, Nasalis larvatus
meerkat, mierkat;meerkat, mierkat
shopping cart;carrinho de compras
toaster;torradeira
ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;ashcan, lata de lixo, lata de lixo, caixote do lixo, caixote do lixo, caixote do lixo, caixote do lixo, caixote do lixo, tambor do lixo, caixote do lixo
sundial;relógio de sol
macaw;arara
vault;cofre
puffer, pufferfish, blowfish, globefish;baiacu, baiacu, baiacu, peixe-globo
brambling, Fringilla montifringilla;Fringilla montifringilla
barn;celeiro
French horn, horn;Trompa, trompa
fire screen, fireguard;tela de fogo, guarda-fogo
Siberian husky;Husky siberiano
greenhouse, nursery, glasshouse;estufa, viveiro, estufa
bullet train, bullet;trem bala
microwave, microwave oven;microondas, forno microondas
throne;trono
park bench;banco de parque
triumphal arch;arco do Triunfo
maze, labyrinth;labirinto, labirinto
feather boa, boa;boa de pena
picket fence, paling;piquete, empalidecendo
chickadee;chickadee
liner, ocean liner;forro, forro de oceano
pinwheel;cata-vento
airship, dirigible;dirigível, dirigível
jellyfish;medusa
washer, automatic washer, washing machine;lavadora, lavadora automática, lavadora
Indian elephant, Elephas maximus;Elefante indiano, Elephas maximus
tank, army tank, armored combat vehicle, armoured combat vehicle;tanque, tanque do exército, veículo blindado de combate, veículo blindado de combate
Weimaraner;Weimaraner
spider web, spider's web;teia de aranha, teia de aranha
military uniform;uniforme militar
bucket, pail;balde, balde
potter's wheel;roda de oleiro
space bar;barra de espaço
barbell;barra
barber chair;cadeira de barbeiro
leaf beetle, chrysomelid;besouro de folha, crisomelídeo
scuba diver;mergulhador
bow;arco
mosque;mesquita
geyser;gêiser
scoreboard;placar
pomegranate;romã
mountain tent;barraca da montanha
water ouzel, dipper;ouzel de água, dipper
red fox, Vulpes vulpes;raposa vermelha, vulpes vulpes
chain saw, chainsaw;motosserra, motosserra
hognose snake, puff adder, sand viper;cobra hognose, adicionador de sopro, víbora de areia
strawberry;morango
chest;peito
junco, snowbird;junco, snowbird
racket, racquet;raquete, raquete
pineapple, ananas;abacaxi, ananás
great grey owl, great gray owl, Strix nebulosa;coruja cinzenta, coruja cinzenta, Strix nebulosa
typewriter keyboard;teclado de máquina de escrever
robin, American robin, Turdus migratorius;robin, robin americano, Turdus migratorius
jean, blue jean, denim;brim, brim azul, brim
breastplate, aegis, egis;peitoral, égide, egis
Siamese cat, Siamese;Gato siamês, siamês
Yorkshire terrier;Yorkshire Terrier
measuring cup;copo medidor
tractor;trator
folding chair;cadeira dobrável
squirrel monkey, Saimiri sciureus;macaco esquilo, Saimiri sciureus
file, file cabinet, filing cabinet;arquivo, arquivo armário, arquivo
weasel;doninha
wok;wok
caldron, cauldron;caldeirão, caldeirão
shower curtain;cortina de chuveiro
alligator lizard;lagarto jacaré
Italian greyhound;Galgo italiano
printer;impressora
wig;peruca
sock;meia
slide rule, slipstick;régua deslizante
orangutan, orang, orangutang, Pongo pygmaeus;orangotango, orangotango, orangotango, Pongo pygmaeus
Boston bull, Boston terrier;Touro de Boston, Boston terrier
frying pan, frypan, skillet;frigideira, frigideira, frigideira
tobacco shop, tobacconist shop, tobacconist;tabacaria, tabacaria, tabacaria
barrel, cask;barril, barril
American egret, great white heron, Egretta albus;Garça-branca-americana, garça-branca-grande, Egretta albus
container ship, containership, container vessel;navio porta-contêineres, porta-contêineres, navio porta-contêineres
freight car;vagão de carga
three-toed sloth, ai, Bradypus tridactylus;preguiça-de-três-dedos, ai, Bradypus tridactylus
groom, bridegroom;noivo noivo
streetcar, tram, tramcar, trolley, trolley car;bonde, bonde, bonde, carrinho, bonde
barometer;barômetro
unicycle, monocycle;monociclo, monociclo
desk;escrivaninha
gas pump, gasoline pump, petrol pump, island dispenser;bomba de gasolina, bomba de gasolina, bomba de gasolina, dispensador de ilha
bee eater;comedor de abelha
dome;cúpula
spoonbill;colhereiro
hotdog, hot dog, red hot;cachorro quente, cachorro quente
burrito;burrito
magnetic compass;bússola magnética
panpipe, pandean pipe, syrinx;panpipe, tubo pandeano, syrinx
submarine, pigboat, sub, U-boat;submarino, pigboat, submarino, U-boat
guacamole;guacamole
soup bowl;tigela de sopa
sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita;cacatua com crista do enxofre, Kakatoe galerita, Cacatua galerita
horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;víbora com chifres, cerastes, víbora de areia, asp com chifres, Cerastes cornutus
oxygen mask;máscara de oxigênio
hand blower, blow dryer, blow drier, hair dryer, hair drier;ventilador de mão, secador de cabelo, secador de cabelo, secador de cabelo, secador de cabelo
carbonara;carbonara
diamondback, diamondback rattlesnake, Crotalus adamanteus;diamondback, cascavel diamondback, Crotalus adamanteus
dough;massa
mashed potato;purê de batata
bolo tie, bolo, bola tie, bola;laço, bola laço, bola
chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour;cota de malha, cota de malha, cota de malha, armadura em cadeia, armadura em cadeia, armadura em anel, armadura em anel
sunscreen, sunblock, sun blocker;protetor solar, protetor solar, protetor solar
volcano;vulcão
chocolate sauce, chocolate syrup;calda de chocolate, calda de chocolate
monarch, monarch butterfly, milkweed butterfly, Danaus plexippus;monarca, borboleta monarca, borboleta serralha, Danaus plexippus
solar dish, solar collector, solar furnace;prato solar, coletor solar, forno solar
seashore, coast, seacoast, sea-coast;beira-mar, costa, litoral, costa do mar
acorn;bolota
prayer rug, prayer mat;tapete de oração, tapete de oração
Windsor tie;Laço de Windsor
black swan, Cygnus atratus;cisne negro, Cygnus atratus
tiger shark, Galeocerdo cuvieri;tubarão-tigre, Galeocerdo cuvieri
European fire salamander, Salamandra salamandra;Salamandra de fogo europeia, Salamandra salamandra
balloon;balão
steel arch bridge;ponte em arco de aço
West Highland white terrier;Terrier branco de montanhas ocidentais
studio couch, day bed;sofá de estúdio, cama de dia
wardrobe, closet, press;guarda-roupa, armário, imprensa
drilling platform, offshore rig;plataforma de perfuração, plataforma offshore
Dutch oven;Forno holandês
rock python, rock snake, Python sebae;python rocha, cobra rocha, Python sebae
espresso maker;máquina de café expresso
sidewinder, horned rattlesnake, Crotalus cerastes;sidewinder, cascavel com chifres, Crotalus cerastes
ski;esqui
croquet ball;bola de croquet
football helmet;Capacete de futebol
butternut squash;abóbora
bald eagle, American eagle, Haliaeetus leucocephalus;águia americana, águia americana, Haliaeetus leucocephalus
bulletproof vest;colete a prova de balas
hyena, hyaena;hiena, hiena
bathing cap, swimming cap;touca de banho, touca de natação
steel drum;tambor de aço
corn;milho
tarantula;tarântula
necklace;colar
langur;Langur
llama;lhama
fur coat;casaco de pele
boa constrictor, Constrictor constrictor;boa constrictor, constrictor constrictor
palace;Palácio
gar, garfish, garpike, billfish, Lepisosteus osseus;gar, garfish, garpike, billfish, Lepisosteus osseus
common iguana, iguana, Iguana iguana;iguana comum, iguana, iguana iguana
paddlewheel, paddle wheel;roda de pás, roda de pás
starfish, sea star;estrela do mar, estrela do mar
great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;tubarão branco, tubarão branco, comedor de homem, tubarão comedor de homem, Carcharodon carcharias
French loaf;Pão francês
harvestman, daddy longlegs, Phalangium opilio;ceifeiro, papai longlegs, Phalangium opilio
sea snake;cobra D'água
paddle, boat paddle;remo, remo para barco
Great Pyrenees;Grandes Pirineus
rotisserie;churrasqueira
trilobite;trilobita
cauliflower;couve-flor
soccer ball;bola de futebol
sea urchin;ouriço-do-mar
planetarium;planetário
spindle;fuso
custard apple;pinha
disk brake, disc brake;freio a disco, freio a disco
tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui;sapo de cauda, ​​sapo de sino, sapo com nervuras, sapo de cauda, ​​Ascaphus trui
white wolf, Arctic wolf, Canis lupus tundrarum;lobo branco, lobo ártico, Canis lupus tundrarum
toilet seat;assento da privada
hornbill;calau
puck, hockey puck;disco, disco de hóquei
hamster;hamster
snow leopard, ounce, Panthera uncia;onça, Panthera uncia
four-poster;com dossel
bulbul;bulbul
redshank, Tringa totanus;redshank, Tringa totanus
triceratops;triceratops
rapeseed;colza
badger;texugo
Norfolk terrier;Norfolk terrier
crib, cot;berço, berço
beaver;Castor
sombrero;sombrero
cock;galo
gown;vestido
Chihuahua;Chihuahua
miniskirt, mini;minissaia, mini
pretzel;pretzel
hermit crab;caranguejo eremita
schipperke;Schipperke
tiger beetle;besouro tigre
garden spider, Aranea diademata;aranha de jardim, Aranea diademata
potpie;potpie
macaque;macaque
Lhasa, Lhasa apso;Lhasa, Lhasa apso
cab, hack, taxi, taxicab;táxi, hack, táxi, táxi
dalmatian, coach dog, carriage dog;dálmata, cão treinador, cão de carruagem
jay;Jay
shield, buckler;escudo, broquel
gorilla, Gorilla gorilla;gorila, gorila gorila
indigo bunting, indigo finch, indigo bird, Passerina cyanea;estamenha de índigo, passarinho de índigo, pássaro índigo, Passerina cyanea
doormat, welcome mat;capacho, tapete de boas vindas
menu;cardápio
Ibizan hound, Ibizan Podenco;Cão de Ibizan, Ibizan Podenco
yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;chinelo de senhora amarelo, chinelo de senhora amarelo, Cypripedium calceolus, Cypripedium parviflorum
racer, race car, racing car;piloto, carro de corrida, carro de corrida
black and gold garden spider, Argiope aurantia;aranha de jardim preta e dourada, Argiope aurantia
cucumber, cuke;pepino, cuke
leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;tartaruga de couro, couro, tartaruga de couro, Dermochelys coriacea
minibus;mini onibus
patas, hussar monkey, Erythrocebus patas;patas, macaco hussardo, patas de Erythrocebus
hip, rose hip, rosehip;quadril, rosa quadril, rosa mosqueta
African grey, African gray, Psittacus erithacus;Cinza africano, cinza africano, Psittacus erithacus
ocarina, sweet potato;ocarina, batata doce
neck brace;colar cervical
tabby, tabby cat;gato malhado, gato malhado
radio telescope, radio reflector;rádio telescópio, rádio refletor
Brittany spaniel;Spaniel da Bretanha
Doberman, Doberman pinscher;Doberman, Pinscher Doberman
goose;Ganso
trifle;bagatela
jacamar;jacamar
bookcase;estante
coyote, prairie wolf, brush wolf, Canis latrans;coiote, lobo da pradaria, lobo da escova, Canis latrans
kimono;quimono
monastery;mosteiro
dung beetle;Besouro do Esterco
basketball;basquetebol
Petri dish;placa de Petri
pug, pug-dog;pug, cão pug
siamang, Hylobates syndactylus, Symphalangus syndactylus;siamang, Hylobates syndactylus, Symphalangus syndactylus
nipple;mamilo
water snake;Cobra d'água
Loafer;Preguiçoso
viaduct;viaduto
brown bear, bruin, Ursus arctos;urso pardo, bruin, Ursus arctos
magpie;pega
warplane, military plane;avião de guerra, avião militar
organ, pipe organ;órgão, órgão de tubos
colobus, colobus monkey;colobus, macaco colobus
banjo;banjo
bee;abelha
bullfrog, Rana catesbeiana;sapo-boi, Rana catesbeiana
wallaby, brush kangaroo;wallaby, escova canguru
leopard, Panthera pardus;leopardo, Panthera pardus
sweatshirt;suéter
ear, spike, capitulum;orelha, espigão, capitulum
gibbon, Hylobates lar;gibão, Hylobates lar
holster;coldre
platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;ornitorrinco, bico de pato, ornitorrinco com bico de pato, ornitorrinco com bico de pato, Ornithorhynchus anatinus
ptarmigan;Ptarmigan
tiger cat;gato tigre
mortarboard;mortarboard
terrapin;terrapin
quilt, comforter, comfort, puff;colcha, edredom, conforto, sopro
timber wolf, grey wolf, gray wolf, Canis lupus;lobo da madeira, lobo cinzento, lobo cinzento, Canis lupus
kite;pipa
Maltese dog, Maltese terrier, Maltese;Cão maltês, terrier maltês, maltês
mobile home, manufactured home;casa móvel, casa fabricada
pier;cais
cliff dwelling;moradia em penhasco
pencil box, pencil case;caixa de lápis, estojo
dock, dockage, docking facility;doca, docagem, instalação de acoplagem
buckeye, horse chestnut, conker;buckeye, castanha da Índia, conker
pelican;pelicano
limpkin, Aramus pictus;limpkin, Aramus pictus
lorikeet;Lorikeet
medicine chest, medicine cabinet;armário de remédios, armário de remédios
Madagascar cat, ring-tailed lemur, Lemur catta;Gato de Madagascar, lêmure de cauda anelada, lêmure de catta
sea anemone, anemone;anêmona do mar, anêmona
stupa, tope;stupa, tope
grey fox, gray fox, Urocyon cinereoargenteus;raposa cinzenta, raposa cinzenta, Urocyon cinereoargenteus
trimaran;trimarã
cradle;berço
megalith, megalithic structure;megálito, estrutura megalítica
agama;agama
catamaran;catamarã
toy poodle;poodle toy
mink;vison
Gila monster, Heloderma suspectum;Monstro de Gila, Heloderma suspense
meat loaf, meatloaf;bolo de carne, bolo de carne
chimpanzee, chimp, Pan troglodytes;chimpanzé, chimpanzé, Pan trogloditas
grille, radiator grille;grelha, grelha do radiador
altar;altar
bloodhound, sleuthhound;cão de caça, detetive
forklift;empilhadeira
photocopier;fotocopiadora
groenendael;groenendael
Bedlington terrier;Terrier de Bedlington
Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis;Dragão de Komodo, lagarto de Komodo, lagarto de dragão, lagarto gigante, Varanus komodoensis
black stork, Ciconia nigra;cegonha-preta, Ciconia nigra
jersey, T-shirt, tee shirt;camisa, camiseta, camiseta
guinea pig, Cavia cobaya;cobaia, Cavia cobaya
dugong, Dugong dugon;Dugong, Dugong Dugon
brass, memorial tablet, plaque;bronze, placa comemorativa, placa
pot, flowerpot;vaso, vaso de flores
slot, one-armed bandit;slot, bandido com um braço
lakeside, lakeshore;beira do lago
limousine, limo;limusine, limusine
polecat, fitch, foulmart, foumart, Mustela putorius;polecat, fitch, foulmart, foumart, Mustela putorius
fiddler crab;caranguejo violinista
American alligator, Alligator mississipiensis;Jacaré americano, Alligator mississipiensis
black-footed ferret, ferret, Mustela nigripes;furão de patas negras, furão, Mustela nigripes
carousel, carrousel, merry-go-round, roundabout, whirligig;carrossel, carrossel, carrossel, rotatória, redemoinho
Crock Pot;Panela de barro
sea slug, nudibranch;lesma do mar, nudibrânquios
cowboy boot;bota de cowboy
bittern;amargo
giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca;panda gigante, panda, urso panda, urso coon, Ailuropoda melanoleuca
hartebeest;hartebeest
Irish water spaniel;Spaniel de água irlandesa
eft;eft
quail;Codorna
parachute, chute;paraquedas, calha
crate;engradado
artichoke, globe artichoke;alcachofra, alcachofra
white stork, Ciconia ciconia;cegonha-branca, Ciconia ciconia
ice cream, icecream;sorvete, sorvete
wood rabbit, cottontail, cottontail rabbit;coelho de madeira, coelho, coelho coelho
mitten;luva
alp;alpes
bearskin, busby, shako;pele de urso, busby, shako
king snake, kingsnake;rei cobra
ringlet, ringlet butterfly;argolinha, borboleta argolinha
castle;castelo
common newt, Triturus vulgaris;Tritão comum, Triturus vulgar
skunk, polecat, wood pussy;jaritataca, polecat, buceta de madeira
bicycle-built-for-two, tandem bicycle, tandem;bicicleta construída para dois bicicleta em tandem
capuchin, ringtail, Cebus capucinus;capuchinho, ringtail, Cebus capucinus
coral fungus;fungo coral
diaper, nappy, napkin;fralda, fralda, guardanapo
crayfish, crawfish, crawdad, crawdaddy;lagostas, lagostins, crawdad, crawdaddy
Samoyed, Samoyede;Samoyed, Samoyede
volleyball;voleibol
handkerchief, hankie, hanky, hankey;Lenço, Lenço, Lenço, Lenço
broccoli;brócolis
clog, geta, patten, sabot;entupir, geta, patten, sabot
barracouta, snoek;barracouta, snoek
fox squirrel, eastern fox squirrel, Sciurus niger;esquilo raposa, esquilo raposa oriental, Sciurus niger
hay;feno
mixing bowl;tigela
agaric;agárico
stretcher;maca
black-and-tan coonhound;coonhound preto e marrom
borzoi, Russian wolfhound;borzoi, cão caçador de lobos russo
